,Country,Country_Code,1996_hchm_avg,1996_count,2007_hchm_avg,2007_count,2008_hchm_avg,2008_count,2009_hchm_avg,2009_count,2010_hchm_avg,2010_count,2015_hchm_avg,2015_count,2016_hchm_avg,2016_count,2017_hchm_avg,2017_count,2018_hchm_avg,2018_count,2019_hchm_avg,2019_count,2020_hchm_avg,2020_count
30,Martinique,MTQ,11.215508870774395,20855,11.226582389638773,20818,11.199799190759773,20822,11.199437162775151,20943,11.197358114895245,20906,11.216615273723502,41794,11.234260276784852,20702,11.236163649328049,20686,11.225830195601963,20782,11.229813508064517,21080,11.217584650513464,21131
31,Mauritius,MUS,8.187540151336439,6193,9.39204859893594,4768,9.602569586819362,4527,9.763794353227567,4414,9.847661092169112,4355,9.934104281287212,8608,9.987318065653996,4284,10.045855346124425,4177,10.0812159656343,4200,10.04401734530028,4315,9.98366878472148,4389
32,Malaysia,MYS,13.543823794983007,5615545,13.61472603404934,5589924,13.632766387848644,5565858,13.619654109242475,5571078,13.609529343219439,5566737,13.583115881956589,11072914,13.570844343638736,5515272,13.55880297743176,5517049,13.543222698041667,5526039,13.530322270987803,5531265,13.531010807569048,5517791
33,Mayotte,MYT,11.9829677861549,7295,11.924021302793145,7411,11.899016706184879,7486,11.910842765090813,7488,11.920825794129474,7461,11.950240876534789,14660,11.964569297401347,7273,11.96829094590884,7284,11.960758134085042,7361,11.948207234612257,7376,11.966968634243381,7289
34,Nigeria,NGA,9.754351240966654,9092078,9.817920097499242,9018333,9.831600816273335,8977720,9.831487256891618,8970806,9.824300469561136,8954267,9.818423422154385,17851700,9.807147613370896,8885137,9.803828360265022,8890489,9.797400673070332,8884027,9.79079476574073,8891986,9.780796478111844,8868269
35,Nicaragua,NIC,10.874844226608069,825167,10.893132095376242,834170,10.898460477968625,837164,10.883189395254234,843373,10.88971519932786,839929,10.93395799464109,1644038,10.932790579050318,815430,10.920085446382656,818653,10.878763296505028,821809,10.89516619289881,813096,10.942770498875898,802419
36,São Tomé and Príncipe,STP,18.28595648871528,504,18.28595648871528,504,18.28595648871528,504,18.28595648871528,504,18.28595648871528,504,18.28595648871528,1008,18.28595648871528,504,18.28595648871528,504,18.28595648871528,504,18.28595648871528,504,18.28595648871528,504
37,Suriname,SUR,12.724747601367055,804055,12.575808793592332,798569,12.288301813754455,812156,12.168765501069796,817591,11.853589307905182,840138,11.421135864578506,1743356,11.270536184520395,879773,11.311666572678352,869976,11.313069895968015,867210,11.273006591458465,865720,11.271425807142215,855032
38,French Polynesia,PYF,9.367461952927936,1338,9.337413842791946,1319,9.337142944335938,1310,9.338952145631286,1305,9.330640480094363,1299,9.31840249308237,2606,9.30127253641609,1310,9.295089489430234,1314,9.285787601167735,1321,9.33635471568388,1360,9.361342749397394,1371
39,Qatar,QAT,5.285959070726361,4993,5.210539758452736,5061,5.208826175986238,5107,5.249894101524768,5047,5.27037194473498,5012,5.254410673085132,9884,5.19552224518985,5013,5.149295864945981,5059,5.06674284959349,5287,5.022610917099396,5347,5.0149996240472205,5338
40,Saudi Arabia,SAU,4.164007254437844,112778,3.581642225673422,129342,3.4058640387731383,129140,3.5104286448242346,124760,3.7793378181843957,103650,4.046743054788809,165220,4.011993144647493,78970,3.963101641964672,79828,3.9976008041898816,79278,4.0560680501485065,79166,4.098360018111842,79740
41,Tuvalu,TUV,9.26654583474864,92,9.26654583474864,92,9.26654583474864,92,9.26654583474864,92,9.26654583474864,92,9.26654583474864,184,9.26654583474864,92,9.26654583474864,92,9.26654583474864,92,9.26654583474864,92,9.26654583474864,92
42,Taiwan,TWN,6.1035540660923715,2153,5.809712115009811,2357,5.604272236861832,2397,5.539196059283088,2380,5.295851889863653,2473,5.295213182586984,4850,5.692788302378201,2177,5.981134359119008,2060,6.307780196027058,1886,6.615191287330773,1782,6.571237575684943,1809
43,Tanzania,TZA,11.363186481446542,1208454,11.429979512475972,1192372,11.445387569841268,1181608,11.446410460774262,1183942,11.440035664652696,1180090,11.447611838498705,2353170,11.443178909854396,1170229,11.453389496824808,1169851,11.456356268882816,1178320,11.461354641061346,1181330,11.442103442878627,1167584
44,United States,USA,8.374669538131611,2797497,8.416210345603764,2779130,8.431041616981679,2751712,8.436522011888224,2752006,8.47063964188028,2707955,8.505383807989286,5311244,8.502144674314005,2641422,8.502086502444403,2639694,8.50135110937323,2649856,8.48014770798617,2673736,8.474055935071931,2688981
45,Saint Vincent and the Grenadines,VCT,11.868836860436236,346,12.205297634226632,337,12.136276560195428,339,12.082298234192251,342,11.993513973247403,337,12.099160565587574,668,12.07302051380368,326,11.991007986244249,326,11.98268007220644,330,11.913241496128318,339,12.048837378143222,343
46,Venezuela,VEN,17.76028794296491,3046132,17.838990447917794,3032049,17.880788681062224,3017868,17.876356118853813,3016745,17.849817413202867,3014459,17.764717783745265,6036610,17.719793283927068,3016883,17.677498609110007,3026900,17.660590917018574,3037352,17.640219995866538,3043351,17.62934859464099,3039356
47,Yemen,YEM,5.89411678523324,20796,6.021955142087748,18409,6.061013663973871,17211,6.056154346847955,17231,6.089157576225923,17192,6.088377036313577,33954,6.100687023869796,16571,6.102751873138288,16425,6.127197163232854,16169,6.122964029025973,16330,6.146752239681068,15754
48,Aruba,ABW,5.362037542113222,589,5.969044656696205,499,6.340012983842329,462,6.465180112604509,456,6.458664039298731,463,6.332579034142913,956,6.332579034142913,478,6.332579034142913,478,6.678628921508789,448,6.678628921508789,448,6.33155146731606,474
49,Costa Rica,CRI,15.080022923880572,405106,15.115934487101546,409269,15.14023228207097,408929,15.141070957658089,409420,15.151413627786235,408728,15.141014045186822,814228,15.123169950820179,406817,15.102346420766219,406894,15.124923999065519,404369,15.170617564878203,398121,15.192570083077147,393106
50,Cuba,CUB,7.979002507052059,4407345,8.183320277669722,4184213,8.238010625232265,4111499,8.239796086210603,4113108,8.259677390825745,4073032,8.321112830461784,7930770,8.333005062061561,3927774,8.329083259077809,3941547,8.313959835760333,3974484,8.313530431688633,3982958,8.308816180043713,3978829
51,Curaçao,CUW,9.0501445423473,484,9.0501445423473,484,9.0501445423473,484,9.0501445423473,484,9.05988761949243,483,9.05988761949243,966,9.052171663714738,483,9.052171663714738,483,9.052171663714738,483,9.052171663714738,483,9.052171663714738,483
52,American Samoa,ASM,11.427927336003895,353,11.428888494318182,352,11.433563058035714,350,11.473037895114942,348,11.440163861031518,349,11.432582409633191,702,11.432582409633191,351,11.432582409633191,351,11.432582409633191,351,11.442186802455357,350,11.442186802455357,350
53,French Southern Territories,ATF,12.551908023483366,7665,12.551908023483366,7665,12.551908023483366,7665,12.551908023483366,7665,12.551908023483366,7665,12.551908023483366,15330,12.551908023483366,7665,12.551908023483366,7665,12.551908023483366,7665,12.551908023483366,7665,12.551908023483366,7665
54,Panama,PAN,17.14692427060347,1658030,17.187676644220844,1666193,17.205839592495398,1664479,17.206854307777256,1665402,17.219521291495404,1662509,17.239443232830872,3316608,17.245281600571552,1654781,17.245582879150856,1653820,17.26360864030633,1649711,17.291765687369008,1639530,17.294837521452486,1626050
55,Antigua and Barbuda,ATG,7.3186178768382355,9520,7.310469948620335,8734,7.321770839314423,8708,7.345529484282628,8796,7.376093951960362,9284,7.347005278195085,18638,7.335493245366007,9549,7.321676253877973,9670,7.290148657289002,9775,7.285682230543546,9714,7.2768834230045965,9572
56,Australia,AUS,9.04276439760636,11725219,9.174693514542003,11439390,9.226868529474919,11248467,9.233819206246118,11245879,9.247954769279577,11168046,9.257190331505845,22099858,9.256667295612706,10976648,9.23988496962288,11013325,9.224711594438658,11076304,9.211255844812134,11106577,9.207816400198343,11038863
57,Benin,BEN,4.042769180867231,30926,4.459602512824286,23783,4.5358401749063,22412,4.382164737133031,24423,4.177303285184855,27995,4.054594997550566,60218,3.961359283561796,31442,3.9650275500255723,31284,3.933763216097749,31141,3.941266102389688,30799,3.883839544914723,30313
58,"Bonaire, Sint Eustatius and Saba",BES,9.262963309621865,2671,9.691793639657803,2294,9.796169211647728,2200,9.849744605309015,2152,9.923044620310245,2079,10.023606576492538,4020,10.04890518304249,1977,10.026044921875,2000,10.009351444723618,1990,10.039451932858595,1966,10.058943931502526,1980
