,Country,Country_Code,1996_agb_tot,1996_agb_avg,1996_count,1996_area,2007_agb_tot,2007_agb_avg,2007_count,2007_area,2008_agb_tot,2008_agb_avg,2008_count,2008_area,2009_agb_tot,2009_agb_avg,2009_count,2009_area,2010_agb_tot,2010_agb_avg,2010_count,2010_area,2015_agb_tot,2015_agb_avg,2015_count,2015_area,2016_agb_tot,2016_agb_avg,2016_count,2016_area,2017_agb_tot,2017_agb_avg,2017_count,2017_area,2018_agb_tot,2018_agb_avg,2018_count,2018_area,2019_agb_tot,2019_agb_avg,2019_count,2019_area,2020_agb_tot,2020_agb_avg,2020_count,2020_area
10,Oman,OMN,4441.549706739277,26.026541445719733,1925,169.11858745147524,3878.5322866987826,27.126931902048902,1612,141.69369059065386,3709.0200475943734,28.285698593955054,1476,129.97053298152522,3901.7962008245127,28.74801814353013,1526,134.5771827182292,4058.890887250373,29.112687573131666,1567,138.24720343328158,7745.573298287045,27.788716264515166,3140,276.4305845199535,3687.9120106085957,27.186312519646936,1530,134.50554116998813,3342.153745513356,26.431188252255634,1430,125.41926649297804,3169.9226198497,25.358941300799714,1418,124.16824430469086,3216.0791859550222,24.7562547814644,1475,129.1332470168182,3337.253765149118,24.224219419038274,1561,136.8299092226075
11,Pakistan,PAK,1559905.784876211,15.59770765464788,1154069,100043.07755013517,1450352.619004241,15.821779676006697,1057889,91700.1338752764,1413724.8352567183,15.86505228554531,1028388,89140.17889685983,1401747.976879685,15.878567581845498,1018860,88309.82687035759,1376531.7904986371,15.91007917928672,998626,86549.391244757,2712277.8033401985,15.862169146962499,1973730,171048.95593554035,1370080.7647754997,15.732745115230484,1005203,87115.47327702772,1401984.9131910345,15.655646017612606,1033660,89583.72955210473,1414693.1556780247,15.624134021160499,1045149,90578.35592050292,1364359.9448395434,15.685553195174755,1004092,87013.58926533707,1238301.8464276996,15.928180900818512,897596,77770.74901967378
12,China,CHN,1284648.258514579,52.43965855012594,276598,24520.46612715409,1186534.44142919,54.250258665065545,247100,21898.073413136855,1154637.6028874775,54.89813186369453,237791,21063.149424621002,1116276.6147224,54.781543275767824,230285,20403.13812066701,1081554.9955522416,53.81913511911765,226921,20116.258056996838,2130826.9291291474,51.46125561542207,466972,41426.34122500729,1079701.4530388042,50.81996234723823,239575,21254.301282133172,1081683.8568417442,50.654722319909155,240799,21362.683663997177,1066804.7405030415,50.76202972135262,237000,21024.363224127806,1060640.479468789,50.60080277635294,236344,20967.7528150766,1052205.8516142531,50.90416227963093,233177,20681.20587004622
13,Côte d'Ivoire,CIV,469172.6166406731,81.0029778011631,61209,5792.449082097964,472858.26204022043,81.59151965445018,61245,5795.827015835482,473217.32278837817,81.54176538196492,61329,5803.764320644904,473873.36596245563,81.51780868944269,61432,5813.5284316404395,470476.5611568043,81.5574079792603,60962,5769.06415651692,910712.3202849241,82.67238349707455,116414,11016.756790164358,446247.61818518565,83.30138861736307,56612,5357.444472263398,442689.2862983993,83.56263138005443,55985,5298.113648148717,441823.5390356741,83.16145675894265,56145,5313.257926308474,443247.99436652707,82.91555546725834,56493,5346.190260338724,444398.8227283284,82.8637629029653,56675,5363.420717537372
14,Cameroon,CMR,39664525.109952636,201.91268028584983,2074026,196443.40480026224,39845904.06413616,201.91777980098934,2083458,197336.6802357222,39819622.00518738,201.88480271788382,2082423,197238.7307431939,39814566.57528246,201.85487827806824,2082467,197242.9464370666,39838724.47439483,201.79046388207468,2084393,197425.5486569996,79684162.15270418,201.3282422462469,4178706,395790.703830717,39685683.93032009,201.06771620743027,2083847,197373.8988439813,39594340.16922257,200.950212049212,2080267,197034.77971244944,39571086.257825054,200.86187662735333,2079962,197005.71906979146,39654320.87284388,200.798491527804,2084996,197482.42541446697,39561355.05344324,200.66827294199877,2081455,197147.33774437255
15,Democratic Republic of the Congo,COD,1933150.5011965379,81.00746505205733,252597,23863.978095610313,1936944.678215946,81.14558804254958,252662,23870.117185121613,1929739.1656271238,81.13208787225832,251764,23785.27636264131,1928510.9931273912,81.12169597416045,251636,23773.183195490863,1919968.1081190347,81.13572791506432,250478,23663.77998445984,3837327.3015134074,81.13112768483914,500644,47298.08763688065,1916419.5349307791,81.12276315157625,250055,23623.81956298263,1918380.5781681929,81.1194901397355,250321,23648.94867824226,1921308.3840094781,81.13471119179057,250656,23680.597911869543,1927619.2474206423,81.15417945825888,251419,23752.683403541047,1921790.8890063784,81.06162262976439,250945,23707.903399166677
16,Republic of Congo,COG,453800.8683651785,225.14669132756984,21281,2015.5462184549194,456061.9933415758,226.11968341275653,21295,2016.8716790468845,455829.274753792,226.48282833678303,21250,2012.610156352303,456526.52915324457,226.58390072292812,21273,2014.7897976551644,455401.83420669986,226.62208738676276,21217,2009.4873734688529,903890.4049405705,226.58935752363988,42118,3989.045607622964,450337.09426084795,226.5361212414576,20989,1987.8932424654258,449993.74626675167,226.4389450101695,20982,1987.2301851800771,451623.71615265304,226.363700843112,21065,1995.0913418202936,454282.7725684808,226.15033926890288,21209,2008.7316506905897,453844.5776456795,225.98530601344228,21204,2008.2600098129024
17,Senegal,SEN,3590637.932952996,28.360695275910686,1368541,126608.14123722311,3680269.434776297,28.468866362052875,1397417,129276.06282349852,3677963.6860641846,28.525714447406074,1393768,128937.92297669228,3676404.7067355467,28.534014308720362,1392771,128845.94242351863,3658925.640159994,28.545279403761274,1385602,128182.87113609578,7274801.134902698,28.50286539031338,2759012,255235.44476033587,3610449.5112635763,28.475898752295468,1370580,126791.91517017409,3610808.319571536,28.478275747219175,1370600,126793.87978468079,3617180.3805003194,28.476114032832868,1373123,127027.17176849148,3624402.966928171,28.45090581821784,1377082,127393.28282987267,3610946.543151495,28.446301731430044,1372190,126940.82538246961
18,Singapore,SGP,85036.76336103414,100.95731058154054,8871,842.3081444139314,81958.25391660651,105.52202713017358,8180,776.6968086325127,79502.75001110745,107.40248446197862,7796,740.2351955713873,80106.8259528994,106.75333906333235,7903,750.3950305205991,80640.2927564472,106.56083996376698,7970,756.7571815290712,158519.73363263183,108.24054382166428,15424,1464.5212314300766,77446.76893114683,108.91383855322809,7489,711.0867171108695,76719.0170588509,109.40977063550284,7385,701.2118723115867,77057.7988508237,109.30090034805966,7425,705.0101754164034,75994.81256681972,108.14265270539835,7401,702.7315317718111,74365.06841035644,106.44186450087787,7358,698.6484138834105
19,Solomon Islands,SLB,9792930.691762183,185.57934087816332,561418,52758.42013131645,9844475.426774135,185.79819529984417,563707,52973.88000970059,9855965.086635124,185.70799837960658,564639,53061.47161262315,9860991.297779119,185.50193697540712,565556,53147.49562906083,9834230.515368361,185.81131849811877,563084,52914.822291440054,19567219.230862252,186.40014448404253,1116834,104952.16389972167,9754422.197384417,186.69184479544992,555881,52237.738110284634,9734008.255533678,186.94109589595652,553979,52058.836157575366,9780093.154022833,186.69943731543447,557322,52372.985296293264,9824369.344326383,186.327200282054,560962,52715.359776183206,9801882.35014465,186.38713361615862,559497,52577.849552847416
